                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                 1.6902,                 1.3266,                 1.2624,                0.69636,                0.36774,                0.38574,                0.14607,                 2.2008,                 2.4214,                 1.5607,               0.005743,               0.005743,               0.005743
                    132,                 1.7106,                 1.3709,                 1.2898,                0.54691,                0.41274,                0.38503,                0.14525,                  2.209,                 2.3807,                 1.5914,                0.00571,                0.00571,                0.00571
                    133,                  1.759,                 1.3644,                 1.3105,                0.60121,                0.35484,                0.35478,                0.13696,                 2.1605,                 2.3852,                 1.5748,               0.005677,               0.005677,               0.005677
                    134,                 1.7465,                 1.3466,                 1.2973,                0.58909,                0.38848,                0.37411,                0.14608,                  2.179,                 2.4198,                 1.5668,               0.005644,               0.005644,               0.005644
                    135,                 1.6621,                 1.3329,                 1.2705,                0.61758,                 0.3871,                0.36091,                 0.1396,                 2.1715,                 2.3857,                 1.5702,               0.005611,               0.005611,               0.005611
                    136,                 1.6715,                 1.3073,                 1.2671,                0.63515,                 0.3871,                0.38108,                0.13603,                 2.1539,                 2.4074,                 1.5781,               0.005578,               0.005578,               0.005578
                    137,                 1.6718,                 1.3445,                 1.2302,                0.56755,                    0.4,                0.36501,                0.14105,                 2.1518,                 2.2693,                 1.5672,               0.005545,               0.005545,               0.005545
                    138,                 1.6263,                 1.3097,                 1.2512,                0.69987,                0.39355,                0.39905,                0.14817,                 2.2104,                 2.2925,                 1.5813,               0.005512,               0.005512,               0.005512
                    139,                 1.6523,                 1.3102,                 1.2497,                0.63672,                0.38065,                0.38364,                0.14581,                 2.1526,                 2.2933,                 1.5715,               0.005479,               0.005479,               0.005479
                    140,                 1.6354,                 1.2834,                 1.2442,                0.53848,                0.40645,                0.37023,                0.14574,                 2.1342,                 2.3511,                 1.5666,               0.005446,               0.005446,               0.005446
                    141,                 1.5956,                 1.2031,                 1.2308,                0.59208,                0.40645,                0.39365,                0.15012,                 2.1726,                 2.3839,                 1.5747,               0.005413,               0.005413,               0.005413
                    142,                 1.6794,                 1.2871,                  1.283,                0.64112,                0.38065,                0.38875,                0.14866,                 2.1867,                 2.3537,                 1.5892,                0.00538,                0.00538,                0.00538
                    143,                 1.6248,                 1.3149,                 1.2265,                0.57357,                0.38065,                0.37115,                0.13973,                 2.1525,                 2.2826,                 1.5985,               0.005347,               0.005347,               0.005347
                    144,                 1.6343,                 1.3257,                 1.2507,                 0.6625,                0.39355,                 0.3834,                0.14593,                 2.1831,                 2.2854,                 1.5979,               0.005314,               0.005314,               0.005314
                    145,                 1.5838,                 1.2435,                 1.2362,                0.52929,                0.43226,                0.37923,                0.15023,                 2.1926,                 2.2054,                 1.5839,               0.005281,               0.005281,               0.005281
                    146,                 1.6195,                 1.2678,                 1.2125,                0.61344,                0.37882,                0.38405,                0.15059,                 2.1673,                 2.3113,                 1.5732,               0.005248,               0.005248,               0.005248
                    147,                 1.6077,                 1.1857,                 1.2281,                0.61518,                0.36129,                0.38699,                0.14976,                 2.1885,                 2.3495,                 1.5869,               0.005215,               0.005215,               0.005215
